iter	Logloss
0	0.684501002
1	0.6766292602
2	0.6692152912
3	0.6633940282
4	0.6575088514
5	0.6524529321
6	0.6482443596
7	0.644190476
8	0.6407216431
9	0.6368943328
10	0.6329206857
11	0.6304073509
12	0.6271168583
13	0.6245120796
14	0.622267681
15	0.6194067485
16	0.6175535166
17	0.6151246621
18	0.6130908594
19	0.6108239397
20	0.6079999244
21	0.6063261912
22	0.6047925732
23	0.6029354733
24	0.6012428809
25	0.5995270356
26	0.5975131898
27	0.5950940413
28	0.5930994025
29	0.5915774652
30	0.5895555953
31	0.5880632555
32	0.5866866645
33	0.5845742268
34	0.5834358434
35	0.582193788
36	0.5810806812
37	0.5799504906
38	0.5784200479
39	0.5767335204
40	0.5757047053
41	0.574676152
42	0.5732375394
43	0.5720206404
44	0.5702533211
45	0.5691749848
46	0.567182304
47	0.5664760007
48	0.5655977797
49	0.5640029318
50	0.5630655569
51	0.5606136214
52	0.5598742438
53	0.5590305083
54	0.5578916882
55	0.5567147985
56	0.5548270428
57	0.5540002265
58	0.5533031337
59	0.55245465
60	0.5513589383
61	0.5502376442
62	0.5487326938
63	0.5476157276
64	0.5464383042
65	0.5456452967
66	0.5450748948
67	0.5436674887
68	0.5419090568
69	0.5406684995
70	0.5396242972
71	0.538869685
72	0.5379673182
73	0.5372246267
74	0.5367181886
75	0.5358015572
76	0.5345537871
77	0.5338107776
78	0.5327932782
79	0.5320670373
80	0.5308645809
81	0.5302778216
82	0.5289954226
83	0.5279349703
84	0.5272794627
85	0.526504345
86	0.5254526556
87	0.5243120269
88	0.5232920764
89	0.5224129225
90	0.5214295079
91	0.520113517
92	0.518708868
93	0.5181212277
94	0.5166530365
95	0.5157612355
96	0.5152116712
97	0.5140009204
98	0.5135276894
99	0.5124378889
100	0.5117627093
101	0.5112958351
102	0.5101241957
103	0.5094644186
104	0.5085211595
105	0.5077089331
106	0.5065203822
107	0.5057324804
108	0.5047892988
109	0.5038764879
110	0.5029321307
111	0.5016433622
112	0.5004584619
113	0.4995891512
114	0.4984609386
115	0.4971539838
116	0.496442449
117	0.4949152669
118	0.4931183027
119	0.49191805
120	0.490875359
121	0.4898609497
122	0.4879562359
123	0.4869631773
124	0.4862751712
125	0.4851476868
126	0.4839055233
127	0.4825311899
128	0.4816856915
129	0.48122874
130	0.4803878584
131	0.4794333527
132	0.4784717876
133	0.4778411422
134	0.4770813099
135	0.4761822923
136	0.4752134915
137	0.4735274905
138	0.4721864788
139	0.4713837176
140	0.4704910879
141	0.4695111184
142	0.4687782601
143	0.4677464696
144	0.4663209262
145	0.4650775389
146	0.4641931583
147	0.4633556089
148	0.4625239445
149	0.4607633312
