iter	Passed	Remaining
0	2	413
1	5	397
2	7	391
3	10	386
4	13	384
5	15	382
6	18	379
7	21	376
8	23	374
9	26	371
10	29	368
11	31	364
12	34	362
13	36	358
14	39	355
15	42	352
16	44	349
17	47	347
18	50	344
19	52	342
20	55	339
21	57	337
22	60	334
23	63	331
24	65	328
25	68	326
26	70	323
27	73	320
28	76	317
29	78	315
30	81	312
31	84	310
32	86	307
33	89	304
34	91	301
35	94	299
36	97	296
37	99	293
38	102	291
39	104	288
40	107	285
41	110	283
42	112	280
43	115	277
44	117	275
45	120	272
46	123	269
47	125	267
48	128	264
49	130	261
50	133	259
51	136	256
52	138	254
53	141	251
54	143	248
55	146	245
56	149	243
57	151	240
58	154	237
59	156	235
60	159	232
61	161	229
62	164	227
63	167	224
64	169	221
65	172	219
66	174	216
67	177	213
68	179	211
69	182	208
70	185	206
71	187	203
72	190	200
73	193	198
74	195	195
75	198	193
76	201	190
77	203	187
78	206	185
79	208	182
80	211	180
81	214	177
82	216	174
83	219	172
84	227	173
85	229	170
86	232	168
87	235	165
88	237	162
89	240	160
90	243	157
91	245	154
92	248	152
93	250	149
94	253	146
95	256	144
96	258	141
97	261	138
98	263	135
99	266	133
100	269	130
101	271	127
102	274	125
103	276	122
104	279	119
105	282	117
106	284	114
107	287	111
108	289	109
109	292	106
110	294	103
111	297	100
112	300	98
113	302	95
114	305	92
115	308	90
116	310	87
117	313	84
118	315	82
119	318	79
120	321	76
121	323	74
122	326	71
123	329	69
124	332	66
125	334	63
126	337	61
127	340	58
128	342	55
129	345	53
130	348	50
131	350	47
132	353	45
133	356	42
134	358	39
135	361	37
136	363	34
137	366	31
138	369	29
139	371	26
140	374	23
141	376	21
142	379	18
143	382	15
144	384	13
145	387	10
146	390	7
147	392	5
148	395	2
149	397	0
